,area,name,num,class0,class1,class2
85,syf,walk_B_6.0_hard.csv,0,0.0,0.0,0.0
86,syf2,dig_jin_A.csv,50,0.72,0.1,0.18
87,syf2,dig_yuan_A.csv,40,0.525,0.05,0.425
88,syf2,jump_jin_A.csv,49,0.04081632653061224,0.7551020408163265,0.20408163265306123
89,syf2,jump_yuan_A.csv,46,0.13043478260869565,0.717391304347826,0.15217391304347827
90,syf2,walk_jin_A.csv,49,0.14285714285714285,0.0,0.8571428571428571
91,syf2,walk_yuan_A.csv,33,0.15151515151515152,0.48484848484848486,0.36363636363636365
92,yqcc,dig_1.0_0.3.csv,39,0.7435897435897436,0.02564102564102564,0.23076923076923078
93,yqcc,dig_1.0_0.5.csv,42,0.6190476190476191,0.047619047619047616,0.3333333333333333
94,yqcc,dig_2.0_0.3.csv,29,0.5517241379310345,0.0,0.4482758620689655
95,yqcc,dig_2.0_0.5.csv,41,0.7560975609756098,0.0,0.24390243902439024
96,yqcc,dig_3.0_0.3.csv,40,0.5,0.225,0.275
97,yqcc,dig_3.0_0.5.csv,48,0.5208333333333334,0.041666666666666664,0.4375
98,yqcc,dig_4.0_0.3.csv,43,0.7441860465116279,0.13953488372093023,0.11627906976744186
99,yqcc,dig_4.0_0.5.csv,32,0.71875,0.0,0.28125
100,yqcc,dig_5.0_0.3.csv,19,0.6842105263157895,0.3157894736842105,0.0
101,yqcc,dig_5.0_0.5.csv,2,1.0,0.0,0.0
102,yqcc,jump_1.0_A.csv,48,0.5625,0.375,0.0625
103,yqcc,jump_1.0_B.csv,44,0.5909090909090909,0.045454545454545456,0.36363636363636365
104,yqcc,jump_2.0_A.csv,23,0.4782608695652174,0.30434782608695654,0.21739130434782608
105,yqcc,jump_2.0_B.csv,15,0.2,0.0,0.8
106,yqcc,jump_3.0_A.csv,16,0.6875,0.0625,0.25
107,yqcc,jump_3.0_B.csv,9,0.7777777777777778,0.1111111111111111,0.1111111111111111
108,yqcc,jump_4.0_A.csv,6,0.8333333333333334,0.16666666666666666,0.0
109,yqcc,jump_4.0_B.csv,1,1.0,0.0,0.0
110,yqcc,jump_5.0_A.csv,0,0.0,0.0,0.0
111,yqcc,jump_5.0_B.csv,0,0.0,0.0,0.0
112,yqcc,walk_0.5_A.csv,47,0.3829787234042553,0.0,0.6170212765957447
113,yqcc,walk_0.5_B.csv,48,0.2708333333333333,0.0,0.7291666666666666
114,yqcc,walk_1.0_A.csv,24,0.5416666666666666,0.0,0.4583333333333333
115,yqcc,walk_1.0_B.csv,49,0.3673469387755102,0.0,0.6326530612244898
116,yqcc,walk_1.5_A.csv,10,0.9,0.0,0.1
117,yqcc,walk_1.5_B.csv,47,0.2765957446808511,0.0,0.723404255319149
118,yqcc,walk_2.0_A.csv,5,0.2,0.0,0.8
119,yqcc,walk_2.0_B.csv,18,0.4444444444444444,0.0,0.5555555555555556
120,yqcc,walk_2.5_A.csv,6,0.3333333333333333,0.0,0.6666666666666666
121,yqcc,walk_2.5_B.csv,33,0.3333333333333333,0.0,0.6666666666666666
122,yqcc2,dig_1.0_0.3_d1.csv,43,0.4883720930232558,0.046511627906976744,0.46511627906976744
123,yqcc2,dig_1.0_0.3_d2.csv,49,0.9387755102040817,0.0,0.061224489795918366
124,yqcc2,dig_1.0_0.3_d3.csv,47,0.7446808510638298,0.0,0.2553191489361702
125,yqcc2,dig_1.0_0.5_d1.csv,34,0.47058823529411764,0.11764705882352941,0.4117647058823529
126,yqcc2,dig_1.0_0.5_d2.csv,44,0.8409090909090909,0.022727272727272728,0.13636363636363635
127,yqcc2,dig_1.0_0.5_d3.csv,48,0.6458333333333334,0.0,0.3541666666666667
128,yqcc2,jump_1.0_A_d1.csv,45,0.3333333333333333,0.6666666666666666,0.0
129,yqcc2,jump_1.0_A_d2.csv,37,0.35135135135135137,0.6216216216216216,0.02702702702702703
130,yqcc2,jump_1.0_A_d3.csv,48,0.5833333333333334,0.2708333333333333,0.14583333333333334
131,yqcc2,jump_1.0_B_d1.csv,47,0.6808510638297872,0.02127659574468085,0.2978723404255319
132,yqcc2,jump_1.0_B_d2.csv,48,0.5625,0.0625,0.375
133,yqcc2,jump_1.0_B_d3.csv,49,0.42857142857142855,0.0,0.5714285714285714
134,yqcc2,walk_1.0_A_d1.csv,44,0.25,0.0,0.75
135,yqcc2,walk_1.0_A_d2.csv,47,0.46808510638297873,0.0,0.5319148936170213
136,yqcc2,walk_1.0_A_d3.csv,39,0.1794871794871795,0.0,0.8205128205128205
137,yqcc2,walk_1.0_B_d1.csv,48,0.20833333333333334,0.0,0.7916666666666666
138,yqcc2,walk_1.0_B_d2.csv,57,0.3157894736842105,0.0,0.6842105263157895
139,yqcc2,walk_1.0_B_d3.csv,33,0.15151515151515152,0.0,0.8484848484848485
140,zwy,dig_0.0_A.csv,53,0.9811320754716981,0.018867924528301886,0.0
141,zwy,dig_1.0_A.csv,49,0.9183673469387755,0.04081632653061224,0.04081632653061224
142,zwy,dig_3.0_A.csv,7,0.8571428571428571,0.14285714285714285,0.0
143,zwy,dig_5.0_A.csv,19,0.9473684210526315,0.05263157894736842,0.0
144,zwy,jump_0.0_A.csv,40,0.025,0.975,0.0
145,zwy,jump_0.0_A_1.csv,29,0.034482758620689655,0.9310344827586207,0.034482758620689655
146,zwy,jump_1.0_A.csv,30,0.3,0.5,0.2
147,zwy,jump_3.0_A.csv,5,1.0,0.0,0.0
148,zwy,jump_5.0_A.csv,3,1.0,0.0,0.0
149,zwy,walk_0.0_A.csv,49,0.0,0.04081632653061224,0.9591836734693877
150,zwy,walk_1.0_A.csv,47,0.1276595744680851,0.0,0.8723404255319149
151,zwy,walk_3.0_A.csv,0,0.0,0.0,0.0
152,zwy,walk_5.0_A.csv,7,0.8571428571428571,0.14285714285714285,0.0
153,zwy2,dig_0.0_B_d1.csv,49,1.0,0.0,0.0
154,zwy2,dig_1.0_B_d1.csv,49,0.9183673469387755,0.061224489795918366,0.02040816326530612
155,zwy2,dig_3.0_B_d1.csv,22,0.7727272727272727,0.045454545454545456,0.18181818181818182
156,zwy2,dig_5.0_B_d1.csv,4,0.75,0.25,0.0
157,zwy2,jump_0.0_B_d1.csv,38,0.0,1.0,0.0
158,zwy2,jump_1.0_B_d1.csv,29,0.1724137931034483,0.8275862068965517,0.0
159,zwy2,jump_3.0_B_d1.csv,25,0.84,0.16,0.0
160,zwy2,jump_5.0_B_d1.csv,12,0.16666666666666666,0.8333333333333334,0.0
161,zwy2,walk_0.0_B_d1.csv,50,0.06,0.0,0.94
162,zwy2,walk_1.0_B_d1.csv,49,0.16326530612244897,0.02040816326530612,0.8163265306122449
163,zwy2,walk_3.0_B_d1.csv,13,0.23076923076923078,0.0,0.7692307692307693
164,zwy2,walk_5.0_B_d1.csv,16,0.625,0.125,0.25
165,zwy3,dig_0.0_A.csv,49,1.0,0.0,0.0
166,zwy3,dig_0.0_A_d1.csv,69,0.9921875,0.0078125,0.0
167,zwy3,dig_1.0_A.csv,60,0.9333333333333333,0.06666666666666667,0.0
168,zwy3,dig_3.0_A.csv,8,0.5,0.125,0.375
169,zwy3,dig_3.0_A_d1.csv,0,0.0,0.0,0.0
170,zwy3,dig_5.0_A.csv,1,1.0,0.0,0.0
171,zwy3,dig_5.0_A_d1.csv,0,0.0,0.0,0.0
172,zwy3,dig_md_A.csv,673,0.9149449035812672,0.03826618457300275,0.04678891184573002
173,zwy3,jump_0.0_A.csv,47,0.02127659574468085,0.9787234042553191,0.0
174,zwy3,jump_0.0_A_d1.csv,70,0.0234375,0.9765625,0.0
175,zwy3,jump_1.0_A.csv,36,0.3888888888888889,0.5833333333333334,0.027777777777777776
176,zwy3,jump_1.0_A_d1.csv,52,0.36538461538461536,0.5384615384615384,0.09615384615384616
